"odontologia" -- "materiais dentários"
"engineering design" -- "systems engineering"
"eu law" -- "international law"
"medical statistics" -- "epidemiology"
"responsive polymers" -- "imaging"
"alfabetización" -- "análisis del discurso"
"caregiving" -- "dementia"
"biomateriais" -- "corrosão"
"health sciences" -- "public health"
"gender studies" -- "disability studies"
"gender studies" -- "queer studies"
"single-photon detectors" -- "photonics"
"gnss" -- "navigation"
"gnss" -- "gps"
"chromatin" -- "genome organization"
"omega-3 fatty acids" -- "nutrition"
"user-centered design" -- "human-computer interaction"
"forensic psychiatry" -- "psychiatry"
"paleoecology" -- "paleontology"
"type systems" -- "programming languages"
"mechanobiology" -- "heart valves"
"ancient history" -- "classical studies"
"ancient history" -- "classics"
"ancient history" -- "papyrology"
"nanomateriais" -- "nanotecnologia"
"nanomateriais" -- "magnetismo"
"petroleum engineering" -- "eor"
"petroleum engineering" -- "geomechanics"
"petroleum engineering" -- "reservoir engineering"
"consumer law" -- "bankruptcy"
"sédimentologie" -- "carbon"
"sédimentologie" -- "paléoclimatologie"
"human-computer interaction (hci)" -- "mobile computing"
"information security" -- "cryptology"
"information security" -- "cryptography"
"information security" -- "application security"
"information security" -- "computer forensics"
"information security" -- "malware analysis"
"fracture mechanics" -- "damage mechanics"
"fracture mechanics" -- "structural integrity"
"fracture mechanics" -- "mechanical behavior of materials"
"fracture mechanics" -- "computational solid mechanics"
"fracture mechanics" -- "elasticity"
"fracture mechanics" -- "fatigue"
"fracture mechanics" -- "pavement materials"
"fracture mechanics" -- "composite materials"
"surface chemistry" -- "flotation"
"surface chemistry" -- "nanotechnology"
"n cycling" -- "stable isotopes"
"toxicology" -- "endocrine disruptors"
"toxicology" -- "carcinogenesis"
"toxicology" -- "pharmacology"
"toxicology" -- "risk assessment"
"toxicology" -- "immunotoxicology"
"combinatorics" -- "discrete geometry"
"combinatorics" -- "discrete mathematics"
"combinatorics" -- "finite geometry"
"combinatorics" -- "number theory"
"response to intervention" -- "positive behavioral interventions"
"classics" -- "greek"
"complex network analysis" -- "network science"
"groundwater hydrology" -- "water resources"
"neuromorphic engineering" -- "computational neuroscience"
"hypermedia" -- "web science"
"dyslexia" -- "sli"
"dyslexia" -- "learning disabilities"
"dyslexia" -- "reading"
"espectroscopia" -- "física"
"curriculum design" -- "instructional design"
"biosecurity" -- "invasive species"
"medical technology" -- "biomedical engineering"
"precision measurement" -- "atomic physics"
"spiking neural networks" -- "computational neuroscience"
"animal welfare" -- "meat quality"
"animal welfare" -- "dairy cattle"
"animal welfare" -- "animal behaviour"
"animal welfare" -- "human-animal interaction"
"nuclear engineering" -- "heat transfer"
"nuclear engineering" -- "reactor physics"
"nuclear engineering" -- "radiation transport"
"parallel i" -- "high performance computing"
"interneurons" -- "epilepsy"
"clinical science" -- "microbiology"
"nitrogen cycling" -- "microbial ecology"
"film" -- "television"
"film" -- "performing arts"
"environmental modelling" -- "remote sensing"
"spanish literature" -- "latin american literature"
"disorders" -- "language development"
"evolutionary medicine" -- "evolutionary biology"
"organic chemistry" -- "flow chemistry"
"organic chemistry" -- "synthetic methodology"
"organic chemistry" -- "carbohydrate chemistry"
"organic chemistry" -- "polymer chemistry"
"organic chemistry" -- "supramolecular chemistry"
"organic chemistry" -- "pharmaceutical chemistry"
"organic chemistry" -- "organocatalysis"
"organic chemistry" -- "organic materials"
"organic chemistry" -- "peptide synthesis"
"organic chemistry" -- "medicinal chemistry"
"organic chemistry" -- "glycoscience"
"organic chemistry" -- "catalysis"
"organic chemistry" -- "asymmetric synthesis"
"organic chemistry" -- "synthesis"
"organic chemistry" -- "fullerenes"
"química analítica" -- "química ambiental"
"química analítica" -- "química"
"molecular plant-microbe interactions" -- "microbiology"
"asian americans" -- "racial identity"
"asian americans" -- "mental health"
"neurovascular coupling" -- "cerebral blood flow"
"neurovascular coupling" -- "optical imaging"
"traffic flow theory" -- "intelligent transportation systems"
"ecological psychology" -- "affordances"
"biotransformation" -- "biocatalysis"
"molecular beam epitaxy" -- "semiconductors"
"vlsi testing" -- "fault tolerance"
"catalysis" -- "biomass conversion"
"catalysis" -- "sustainable chemistry"
"catalysis" -- "mofs"
"catalysis" -- "inorganic materials"
"catalysis" -- "porous materials"
"catalysis" -- "energy"
"catalysis" -- "polymerization"
"catalysis" -- "adsorption"
"catalysis" -- "surface science"
"catalysis" -- "ch activation"
"catalysis" -- "reaction kinetics"
"catalysis" -- "polyoxometalates"
"catalysis" -- "organometallic chemistry"
"catalysis" -- "reaction"
"catalysis" -- "organometallics"
"catalysis" -- "chemical reaction engineering"
"catalysis" -- "renewable fuels"
"catalysis" -- "dft"
"nanosensors" -- "nanomaterials"
"microsimulation" -- "traffic"
"microsimulation" -- "economic analysis"
"class" -- "gender"
"ellipsometry" -- "condensed matter physics"
"judgment" -- "decision making"
"legal pluralism" -- "human rights"
"intelligence" -- "personality"
"saliency" -- "computer vision"
"skill acquisition" -- "expertise"
"carbon cycle" -- "earth system modelling"
"carbon cycle" -- "climate change"
"carbon cycle" -- "arctic ecosystems"
"carbon cycle" -- "ocean biogeochemistry"
"orofacial pain" -- "physiology"
"family planning" -- "reproductive health"
"multidisciplinary design optimization" -- "structural optimization"
"multidisciplinary design optimization" -- "aircraft design"
"multidisciplinary design optimization" -- "design optimization"
"social complexity" -- "cooperation"
"argumentation theory" -- "pragmatics"
"crop protection" -- "entomology"
"human resources" -- "organizational behavior"
"bioremediation" -- "environmental microbiology"
"bioremediation" -- "phytoremediation"
"early earth" -- "geochemistry"
"bioética" -- "ética"
"bioética" -- "saúde coletiva"
"physiology" -- "cardiovascular"
"physiology" -- "respiration"
"molecular phylogenetics" -- "molecular evolution"
"positron emission tomography" -- "nuclear medicine"
"organometallic chemistry" -- "homogeneous catalysis"
"physical computing" -- "art"
"social equity" -- "urban planning"
"pulsars" -- "neutron stars"
"creative industries" -- "creative economy"
"creative industries" -- "innovation"
"polymer thin films" -- "surface modification"
"single cell analysis" -- "cancer diagnostics"
"single cell analysis" -- "microfluidics"
"psicología social" -- "violencia"
"heterogeneous catalysis" -- "nanocatalyst"
"heterogeneous catalysis" -- "homogenization"
"heterogeneous catalysis" -- "surface science"
"social relationships" -- "lifespan development"
"sea level rise" -- "climate change"
"elastography" -- "ultrasound"
"global surgery" -- "plastic surgery"
"ecological momentary assessment" -- "borderline personality disorder"
"pregnancy" -- "reproductive immunology"
"pregnancy" -- "motherhood"
"metamorphic petrology" -- "thermodynamic modeling"
"network coding" -- "information theory"
"healthcare quality" -- "patient safety"
"energy use" -- "sustainability"
"mining engineering" -- "rock mechanics"
"network protocols" -- "wireless sensor networks"
"palaeobiology" -- "palaeontology"
"networked control" -- "multi-agent systems"
"electron microscopy" -- "immunohistochemistry"
"electron microscopy" -- "materials science"
"autoimmunity" -- "immunology"
"autoimmunity" -- "type 1 diabetes"
"autoimmunity" -- "inflammatory diseases"
"evaluación educativa" -- "tic"
"petroleum geomechanics" -- "rock mechanics"
"heterocyclic chemistry" -- "medicinal chemistry"
"evolutionary computation" -- "multi-objective optimization"
"evolutionary computation" -- "natural computing"
"bridge engineering" -- "earthquake engineering"
"proteins" -- "peptides"
"proteins" -- "biophysics"
"proteins" -- "nucleic acids"
"graph algorithms" -- "data structures"
"exercise psychology" -- "sport psychology"
"exercise psychology" -- "sport"
"gynaecology" -- "obstetrics"
"context" -- "memory"
"serotonin" -- "dopamine"
"statistical thermodynamics" -- "computational chemistry"
"bioactive peptides" -- "proteomics"
"inmigración" -- "género"
"elastomers" -- "polymers"
"measurement" -- "radiation detection"
"measurement" -- "instrumentation"
"measurement" -- "improvement"
"mobile cloud computing" -- "cloud computing"
"toxinology" -- "venom"
"social neuroscience" -- "theory of mind"
"social neuroscience" -- "impression formation"
"social neuroscience" -- "social psychology"
"social neuroscience" -- "oxytocin"
"music technology" -- "music education"
"innovation networks" -- "innovation systems"
"ethnobotany" -- "botany"
"ethnobotany" -- "ethnoecology"
"soil pollution" -- "soil science"
"moral cognition" -- "social cognition"
"stereo vision" -- "computer vision"
"palaeobotany" -- "palaeontology"
"microreactors" -- "microfluidics"
"consumer economics" -- "food policy"
"consumer economics" -- "personal finance"
"cannabinoids" -- "opioids"
"perinatal mental health" -- "child development"
"futures" -- "options"
"scientific workflows" -- "cloud computing"
"storia" -- "storia economica"
"music information retrieval" -- "music signal processing"
"music information retrieval" -- "sound"
"music information retrieval" -- "algorithmic composition"
"music information retrieval" -- "computational musicology"
"software verification" -- "formal methods"
"riparian ecology" -- "fluvial geomorphology"
"public health law" -- "health law"
"entomology" -- "chemical ecology"
"entomology" -- "biocontrol"
"entomology" -- "pest management"
"entomology" -- "nutritional ecology"
"entomology" -- "insect ecology"
"entomology" -- "insect-plant interactions"
"entomology" -- "insecticide resistance"
"entomology" -- "apiculture"
"entomology" -- "biological control"
"entomology" -- "ipm"
"entomology" -- "diptera"
"entomology" -- "ticks"
"charge transport" -- "organic semiconductors"
"terahertz imaging" -- "quantum cascade lasers"
"explosion" -- "combustion"
"action" -- "intention"
"water resources" -- "surface hydrology"
"water resources" -- "hydrology"
"directed self-assembly" -- "block copolymers"
"intercultural competence" -- "teacher education"
"tropical geometry" -- "algebraic geometry"
"special collections" -- "archives"
"textiles" -- "composites"
"textiles" -- "fibres"
"textiles" -- "nonwovens"
"monetary" -- "macroeconomics"
"system dynamics modelling" -- "performance management"
"psychology" -- "cyberpsychology"
"psychology" -- "forensic psychology"
"psychology" -- "education"
"psychology" -- "deception detection"
"psychology" -- "social psychology"
"psychology" -- "counseling psychology"
"urbanisation" -- "climate change"
"shape memory polymers" -- "materials science"
"biological oceanography" -- "phytoplankton ecology"
"biological oceanography" -- "microbial ecology"
"ldpc codes" -- "stochastic computing"
"electrodeposition" -- "passive"
"convex analysis" -- "nonsmooth optimization"
"maritime transportation" -- "operations research"
"future thinking" -- "memory"
"bacterial infection" -- "optical imaging"
"network dynamics" -- "computational neuroscience"
"geography education" -- "environmental education"
"battery materials" -- "nanomaterials"
"wastewater" -- "drinking water"
"wastewater" -- "water"
"fluorescent probes" -- "protein misfolding"
"economics of education" -- "labour economics"
"economics of education" -- "labor economics"
"stacbd" -- "soi-ustan"
"electrical power" -- "power electronics"
"protein science" -- "biochemistry"
"constructivism" -- "international relations"
"petrologia" -- "geoquímica"
"learning sciences" -- "educational technology"
"learning sciences" -- "design-based research"
"surface reconstruction" -- "computer graphics"
"evolutionary economics" -- "innovation"
"engenharia de materiais" -- "engenharia mecânica"
"engenharia de materiais" -- "biologia"
"mobile ad hoc networks" -- "wireless sensor networks"
"affordable housing" -- "housing studies"
"citogenética" -- "cytogenetics"
"citogenética" -- "evolución"
"data quality" -- "databases"
"learning spaces" -- "educational technology"
"morphing structures" -- "smart materials"
"crohn s disease" -- "inflammatory bowel disease"
"crohn s disease" -- "ulcerative colitis"
